feature,target,cloud_ratio
D:\ITMO\senne\competition\data\train_features\mqpp,D:\ITMO\senne\competition\data\train_labels\mqpp.tif,0.0
D:\ITMO\senne\competition\data\train_features\kxpd,D:\ITMO\senne\competition\data\train_labels\kxpd.tif,1.0
D:\ITMO\senne\competition\data\train_features\jyaj,D:\ITMO\senne\competition\data\train_labels\jyaj.tif,1.0
D:\ITMO\senne\competition\data\train_features\hoso,D:\ITMO\senne\competition\data\train_labels\hoso.tif,1.0
D:\ITMO\senne\competition\data\train_features\nfrp,D:\ITMO\senne\competition\data\train_labels\nfrp.tif,1.0
D:\ITMO\senne\competition\data\train_features\raaw,D:\ITMO\senne\competition\data\train_labels\raaw.tif,0.988
D:\ITMO\senne\competition\data\train_features\qqez,D:\ITMO\senne\competition\data\train_labels\qqez.tif,0.245
D:\ITMO\senne\competition\data\train_features\cbjn,D:\ITMO\senne\competition\data\train_labels\cbjn.tif,0.245
D:\ITMO\senne\competition\data\train_features\pbua,D:\ITMO\senne\competition\data\train_labels\pbua.tif,0.184
D:\ITMO\senne\competition\data\train_features\vxaj,D:\ITMO\senne\competition\data\train_labels\vxaj.tif,0.56
D:\ITMO\senne\competition\data\train_features\ciza,D:\ITMO\senne\competition\data\train_labels\ciza.tif,0.093
D:\ITMO\senne\competition\data\train_features\xtsa,D:\ITMO\senne\competition\data\train_labels\xtsa.tif,1.0
D:\ITMO\senne\competition\data\train_features\xcsc,D:\ITMO\senne\competition\data\train_labels\xcsc.tif,0.0
D:\ITMO\senne\competition\data\train_features\emep,D:\ITMO\senne\competition\data\train_labels\emep.tif,0.017
D:\ITMO\senne\competition\data\train_features\bkgm,D:\ITMO\senne\competition\data\train_labels\bkgm.tif,1.0
D:\ITMO\senne\competition\data\train_features\wmmd,D:\ITMO\senne\competition\data\train_labels\wmmd.tif,0.423
D:\ITMO\senne\competition\data\train_features\vffi,D:\ITMO\senne\competition\data\train_labels\vffi.tif,0.488
D:\ITMO\senne\competition\data\train_features\lnua,D:\ITMO\senne\competition\data\train_labels\lnua.tif,0.189
D:\ITMO\senne\competition\data\train_features\wkcq,D:\ITMO\senne\competition\data\train_labels\wkcq.tif,0.719
D:\ITMO\senne\competition\data\train_features\spci,D:\ITMO\senne\competition\data\train_labels\spci.tif,0.982
D:\ITMO\senne\competition\data\train_features\arjq,D:\ITMO\senne\competition\data\train_labels\arjq.tif,0.48
D:\ITMO\senne\competition\data\train_features\elff,D:\ITMO\senne\competition\data\train_labels\elff.tif,0.786
D:\ITMO\senne\competition\data\train_features\sxiq,D:\ITMO\senne\competition\data\train_labels\sxiq.tif,0.0
D:\ITMO\senne\competition\data\train_features\smax,D:\ITMO\senne\competition\data\train_labels\smax.tif,0.31
